# Date,2021-01-11 ���� 3:29
# Mode, Transfer Curve
Time (s),Gate Vg (V),Gate Ig (A),Drain Vd (V),Drain Id (A)
0.053000,-20.000000,-1.232750E-7,20.000000,2.646710E-9
1.742000,-19.500000,-3.484950E-10,20.000000,2.296000E-11
4.493000,-19.000000,-3.430960E-10,20.000000,1.350710E-11
6.634000,-18.500000,-3.477780E-10,20.000000,9.744540E-12
8.774000,-18.000000,-3.422780E-10,20.000000,7.692870E-12
10.914000,-17.500000,-3.480410E-10,20.000000,6.376370E-12
13.053000,-17.000000,-3.410400E-10,20.000000,5.493310E-12
15.192000,-16.500000,-3.449060E-10,20.000000,4.864370E-12
17.332000,-16.000000,-3.448530E-10,20.000000,4.388990E-12
19.472000,-15.500000,-3.409900E-10,20.000000,4.021000E-12
21.611000,-15.000000,-3.403230E-10,20.000000,3.705350E-12
23.750000,-14.500000,-3.415190E-10,20.000000,3.415450E-12
25.889000,-14.000000,-3.407260E-10,20.000000,3.171530E-12
28.029000,-13.500000,-3.418390E-10,20.000000,2.992450E-12
30.168000,-13.000000,-3.368610E-10,20.000000,2.792370E-12
32.309000,-12.500000,-3.407040E-10,20.000000,2.612400E-12
34.450000,-12.000000,-3.418860E-10,20.000000,2.549160E-12
36.591000,-11.500000,-3.392100E-10,20.000000,2.508510E-12
38.730000,-11.000000,-3.392150E-10,20.000000,2.333950E-12
40.870000,-10.500000,-3.372760E-10,20.000000,2.257190E-12
43.009000,-10.000000,-3.396980E-10,20.000000,2.078950E-12
45.148000,-9.500000,-3.396940E-10,20.000000,2.086020E-12
47.288000,-9.000000,-3.355710E-10,20.000000,1.996760E-12
49.427000,-8.500000,-3.390330E-10,20.000000,1.937450E-12
51.567000,-8.000000,-3.358020E-10,20.000000,1.940580E-12
53.707000,-7.500000,-3.384520E-10,20.000000,1.790510E-12
55.847000,-7.000000,-3.389850E-10,20.000000,1.749060E-12
57.987000,-6.500000,-3.392550E-10,20.000000,1.709620E-12
60.128000,-6.000000,-3.385720E-10,20.000000,1.748570E-12
62.267000,-5.500000,-3.386330E-10,20.000000,2.471580E-12
64.406000,-5.000000,-3.368810E-10,20.000000,1.317880E-11
66.547000,-4.500000,-3.380370E-10,20.000000,1.458720E-10
70.103000,-4.000000,-3.360220E-10,20.000000,1.245570E-9
72.096000,-3.500000,-3.356790E-10,20.000000,5.070760E-9
73.126000,-3.000000,-3.381220E-10,20.000000,1.274250E-8
74.232000,-2.500000,-3.376350E-10,20.000000,2.518770E-8
75.187000,-2.000000,-3.374730E-10,20.000000,4.289040E-8
76.141000,-1.500000,-3.373500E-10,20.000000,6.664000E-8
77.096000,-1.000000,-3.388090E-10,20.000000,9.716050E-8
78.050000,-0.500000,-3.380650E-10,20.000000,1.355910E-7
79.025000,0.000000,-3.379860E-10,20.000000,1.845750E-7
79.968000,0.500000,-3.383230E-10,20.000000,2.567940E-7
80.911000,1.000000,-3.401090E-10,20.000000,3.731220E-7
81.854000,1.500000,-3.377530E-10,20.000000,5.515100E-7
82.796000,2.000000,-3.367190E-10,20.000000,8.038760E-7
83.742000,2.500000,-3.386980E-10,20.000000,1.137950E-6
84.701000,3.000000,-3.375830E-10,20.000000,1.565710E-6
85.642000,3.500000,-3.382250E-10,20.000000,2.091040E-6
86.584000,4.000000,-3.385880E-10,20.000000,2.725050E-6
87.524000,4.500000,-3.373360E-10,20.000000,3.474420E-6
88.464000,5.000000,-3.355040E-10,20.000000,4.347300E-6
89.404000,5.500000,-3.317440E-10,20.000000,5.348850E-6
90.344000,6.000000,-3.162790E-10,20.000000,6.488420E-6
91.283000,6.500000,-2.961940E-10,20.000000,7.768330E-6
92.224000,7.000000,-2.660430E-10,20.000000,9.198530E-6
93.164000,7.500000,-2.199100E-10,20.000000,1.078010E-5
94.122000,8.000000,-1.680040E-10,20.000000,1.252860E-5
95.060000,8.500000,-1.050070E-10,20.000000,1.444860E-5
97.716000,9.000000,1.253330E-12,20.000000,1.619040E-5
98.958000,9.500000,7.666050E-12,20.000000,1.840530E-5
100.199000,10.000000,4.357470E-12,20.000000,2.079320E-5
101.439000,10.500000,2.072790E-11,20.000000,2.336420E-5
102.678000,11.000000,1.905330E-11,20.000000,2.612350E-5
103.919000,11.500000,3.950230E-11,20.000000,2.907110E-5
105.160000,12.000000,5.175040E-11,20.000000,3.222350E-5
106.400000,12.500000,6.232040E-11,20.000000,3.556810E-5
107.641000,13.000000,9.665050E-11,20.000000,3.911530E-5
110.297000,13.500000,9.156650E-10,20.000000,4.227850E-5
111.389000,14.000000,4.612790E-9,20.000000,4.634440E-5
111.522000,14.500000,5.652830E-9,20.000000,5.118280E-5
111.652000,15.000000,6.686070E-9,20.000000,5.630490E-5
111.780000,15.500000,7.706880E-9,20.000000,6.172820E-5
111.986000,16.000000,7.624500E-8,20.000000,6.734950E-5
112.042000,16.500000,9.001000E-8,20.000000,7.353660E-5
112.132000,17.000000,1.674010E-6,20.000000,7.994500E-5
112.172000,17.500000,1.905440E-6,20.000000,8.683950E-5
112.221000,18.000000,2.126630E-6,20.000000,9.403910E-5
112.271000,18.500000,2.360240E-6,20.000000,1.014970E-4
112.327000,19.000000,2.608680E-6,20.000000,1.094180E-4
112.376000,19.500000,2.874190E-6,20.000000,1.176400E-4
112.428000,20.000000,3.156260E-6,20.000000,1.261730E-4
